id,name,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,instant_bookable,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,bathrooms,amenities,property_type,cancellation_policy,host_response_rate,host_response_time,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,is_location_exact,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,jurisdiction_names,airbnb_url,calculated_days,revenue_ltm,occupancy_rate,adr,revenue_per_available_room
vancouver_1,Beautiful Cozy entire home/apt in English Bay,host_459,Host_88,Yaletown,North Vancouver,49.237454011884736,-123.01478570807703,Entire home/apt,754.17,3,31,2025-04-14 16:08:34.434395,7.941586694684132,1,363,15,Exempt,False,True,True,4,2,2,2,"WiFi,Kitchen,Pet friendly,Garden",Townhouse,strict,0.9966461771613576,within an hour,0.7139351238159993,19,True,True,4.913302633527279,4.344932326768309,4.078124753809874,3.5239493783303213,3.8463407384332235,3.8615381990390176,4.524895278238187,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/5997895,64,207737.23,0.45526798896001014,754.17,476.08
vancouver_2,Beautiful Cozy private room in Davie Village,host_162,Host_202,Yaletown,East Side,49.231171107608944,-123.14397959364666,Private room,254.95,3,22,2025-02-13 16:08:34.434837,0.8392046668290355,8,262,14,Licensed,True,True,False,1,0,0,1,"WiFi,Kitchen,Workspace,High chair",Apartment,flexible,0.9973773873201035,a few days or more,0.8184644554526709,8,True,True,4.593510752061481,4.656905520028919,3.6110669776011357,4.037698592816409,3.6738035892876946,4.794655138813391,4.434947190241337,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/5545583,91,43046.82,0.7377637070028384,254.95,157.76
vancouver_3,Beautiful Luxury private room in Olympic Village,host_359,Host_283,False Creek,West Side,49.28872127425763,-123.15833552245141,Private room,350.55,2,22,2025-03-15 16:08:34.434989,1.5449859080440675,7,286,15,,True,False,True,5,3,3,2,"WiFi,Kitchen,Washer,Dryer,Air conditioning,Heating",Loft,moderate,0.891306914096582,a few days or more,0.7559710176658108,11,True,True,4.8602426623186314,3.908198374076953,4.471535180812044,3.5007805654929736,4.0288532845012535,3.9571718872370436,3.7469837797144128,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/2954109,194,82684.73,0.4616474002791129,350.55,147.96
vancouver_4,Beautiful Cozy entire home/apt in Davie Village,host_295,Host_386,Gastown,Downtown,49.2168291042173,-123.23437073412808,Entire home/apt,387.89,1,27,2025-08-31 16:08:34.435127,4.170895702081722,6,296,17,Exempt,False,False,True,2,0,1,1,"WiFi,Kitchen,Washer,Dryer,Air conditioning,Heating",Apartment,super_strict_30,0.9016397553481438,a few days or more,0.7122325424664291,4,True,True,4.467759185614175,3.7615496435074873,4.536406607153699,4.080103019450807,4.905094983105101,3.7062814162189897,4.011599526575388,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/3026793,128,58652.84,0.4049729562575617,387.89,306.85
vancouver_5,Beautiful Luxury private room in False Creek,host_233,Host_99,Riley Park,North Vancouver,49.2516635891271,-123.22175124755087,Private room,985.04,7,32,2025-06-29 16:08:34.435260,1.1310497374628663,8,153,16,Exempt,False,True,True,5,3,4,2,"WiFi,Kitchen,Pet friendly,Garden",Loft,flexible,0.8351850505354691,a few days or more,0.7711747262490399,16,True,True,4.486419338450515,4.3524629050032075,3.6405121517421386,4.05157370458915,3.897803551522588,3.8659844650686255,4.959515832128669,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/7105525,293,221321.3,0.7768867821249891,985.04,543.07
vancouver_6,Beautiful Charming entire home/apt in Gastown,host_192,Host_49,Sunset,North Vancouver,49.257690388462635,-123.15224469185434,Entire home/apt,361.18,7,23,2025-01-16 16:08:34.435394,2.9806272850288527,5,144,12,Licensed,True,True,True,2,1,2,1,"WiFi,Kitchen,Pet friendly,Garden",House,super_strict_30,0.9342287033648101,within a day,0.7420252045709572,10,True,True,4.553726125980664,4.039236726829633,3.94038776639674,4.714041733217771,4.715170092018771,4.800608477870155,4.869860828834707,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/7512440,65,92169.4,0.6899783584666591,361.18,235.12
vancouver_7,Beautiful Stylish private room in Sunset,host_180,Host_170,Mount Pleasant,West Side,49.27957926694361,-123.03299839745473,Private room,244.61,1,18,2025-08-31 16:08:34.435527,2.536571868648064,5,152,8,Licensed,True,False,True,1,0,1,1,"WiFi,Kitchen,Parking,Pool,Gym",Condominium,flexible,0.879764180288959,within a day,0.8316914262116908,5,True,True,4.53274985114805,3.5872903932626654,4.872820591439721,4.163528344596656,3.8596810387361047,3.6408099351219376,3.774298995660961,False,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/7665088,301,49849.98,0.6942667971001002,244.61,126.67
vancouver_8,Beautiful Modern shared room in Olympic Village,host_220,Host_69,Fairview,Downtown,49.27300393165618,-123.2856851616925,Shared room,217.26,1,30,2025-02-11 16:08:34.435659,3.7538873692847976,7,299,16,Exempt,True,False,True,3,2,3,1,"WiFi,Kitchen,Workspace,High chair",Townhouse,super_strict_30,0.814113749480086,within a day,0.9832754791375502,12,True,True,4.318425183973902,4.912197213164788,4.079153956701162,4.941785845735871,4.858025962934096,3.793686702183945,3.604041951312748,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/3976242,271,50871.56,0.3427131890761374,217.26,99.83
vancouver_9,Beautiful Cozy entire home/apt in Renfrew,host_493,Host_75,Yaletown,Downtown,49.28448753109694,-123.29301841927925,Entire home/apt,1036.2,3,22,2025-04-14 16:08:34.435788,4.819434314435634,3,85,13,Pending,False,False,True,2,1,1,1,"WiFi,Kitchen,Pet friendly,Garden",Apartment,moderate,0.9805105813359133,within a few hours,0.8489683572049233,13,True,True,4.858072964628896,3.6369300151792006,3.978970456385622,4.925092950576207,4.925910720406334,4.360156832184929,4.447755818254699,True,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/2039458,54,218171.95,0.42763673701453736,1036.2,801.08
vancouver_10,Beautiful Cozy private room in Kitsilano,host_163,Host_215,English Bay,West Side,49.27812960504712,-123.26596061939476,Private room,491.27,1,19,2025-02-12 16:08:34.435917,6.7886057282298875,8,219,14,Exempt,True,True,True,1,0,0,1,"WiFi,Kitchen,Hot tub,Sauna",Apartment,strict,0.9815387412697093,within an hour,0.9260134555776824,6,True,True,4.55762654644499,3.873086231645432,3.9953787935286478,4.151677766732407,3.880523260809708,4.107803130172126,4.357209537807516,False,"Vancouver, BC, Canada",https://www.airbnb.com/rooms/7742471,346,127561.89,0.7465269941659788,491.27,314.67
